Date,Teams_Result,JerseyNo,Player,Position,Goals,Penalties,YellowCards,RedCards,IsSubstitute,Temperature,Humidity,Precipitation,WindSpeed,Pressure,Position_Encoded,Match_Result,Match_Result_Encoded,Player_Avg_Goals,Substitute_Goals_Interaction,Weather_Condition
2022-02-19,Manchester City 2:3 Tottenham Hotspur,20,Bernardo Silva,Midfielder/Forward,1,0,1,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,5,Loss,1,0.5714285714285714,0,0.01591127221622364
2022-02-26,Everton 0:1 Manchester City,20,Bernardo Silva,Midfielder/Forward,0,0,0,0,0,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,5,Win,2,0.6,0,0.01591127221622364
2022-03-06,Manchester City 4:1 Manchester United,20,Bernardo Silva,Midfielder/Forward,0,0,1,0,0,0.22716049382716041,0.0595611285266458,0.6153846153846154,0.4408783783783784,0.5196458218040951,5,Win,2,0.5625,0,0.049874029513085505
2022-03-06,Manchester City 4:1 Manchester United,20,Bernardo Silva,Midfielder/Forward,0,0,1,0,0,0.22716049382716041,0.0595611285266458,0.6153846153846154,0.4408783783783784,0.5196458218040951,5,Win,2,0.5294117647058824,0,0.049874029513085505
2022-03-14,Crystal Palace 0:0 Manchester City,20,Bernardo Silva,Midfielder/Forward,0,0,0,0,0,0.22716049382716041,0.0595611285266458,0.6153846153846154,0.4408783783783784,0.5196458218040951,5,Draw,0,0.5,0,0.049874029513085505
2022-04-20,Manchester City 3:0 Brighton and Hove Albion,20,Bernardo Silva,Midfielder/Forward,1,0,1,0,0,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,5,Win,2,0.47368421052631576,0,0.17376857421975425
2022-04-30,Leeds United 0:4 Manchester City,20,Bernardo Silva,Midfielder/Forward,1,0,0,0,0,0.5074074074074074,0.18808777429467094,0.41025641025641024,0.0,0.7844493635860541,5,Win,2,0.5,0,0.17376857421975425
2022-05-08,Manchester City 5:0 Newcastle United,20,Bernardo Silva,Midfielder/Forward,0,0,0,0,0,0.6839506172839503,0.41222570532915354,0.14102564102564102,0.010275900900900914,1.0,5,Win,2,0.5238095238095238,0,0.37228777829194304
2022-05-11,Wolverhampton Wanderers 1:5 Manchester City,20,Bernardo Silva,Midfielder/Forward,1,0,0,0,0,0.6839506172839503,0.41222570532915354,0.14102564102564102,0.010275900900900914,1.0,5,Win,2,0.5,0,0.37228777829194304
2022-05-11,Wolverhampton Wanderers 1:5 Manchester City,20,Bernardo Silva,Midfielder/Forward,1,0,0,0,0,0.6839506172839503,0.41222570532915354,0.14102564102564102,0.010275900900900914,1.0,5,Win,2,0.5217391304347826,0,0.37228777829194304
